省份,地市,网点名称,地址,电话,网点类型,来源页面,页码
广东省,广州市,建设银行广东省广州空港支行营业室,广州白云国际机场新航站楼主楼一层C8855、C8856场地,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州空港支行机场路支行,广州市机场路282号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州空港支行新机场分理处,广州白云国际机场空港三路边检站综合西楼首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州铁路支行小东园支行,广州市中山一路小东园13号之3首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州铁路支行体育中心支行,广州市体育东路140-148号南方证券大厦首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州铁路支行,广州市达道路61号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州中山一路第二分理处,广州市中山一路67号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州中山一路分理处,广州市中山一路25号首层08铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州中山二路分理处,广州市中山二路35号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州执信南路支行,广州市执信南路10号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州文德南支行,广州市沿江中路263号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州东山广场分理处,广州市先烈中路63号4房（东山广场首层）,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州文明路支行,广州市文明路50号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州五羊新城支行,广州市寺右新马路81号首层、83号207、208房,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州署前路支行,广州市署前路33号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0.html,1
广东省,广州市,建设银行广东省广州明月分理处,广州市明月二路明月二巷17号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
